SegmentNr, Level, Buffer, Unsmooth Second(s)
0, 0, 0, 0
1, 0, 0, 0
2, 0, 0, 0
3, 0, 0, 0
4, 0, 0, 0
5, 0, 0, 0
6, 0, 0, 0
7, 0, 0, 0
8, 0, 0, 0
9, 0, 0, 0
10, 0, 0, 0
11, 0, 0, 0
12, 0, 0, 0
13, 0, 0, 0
14, 0, 0, 0
15, 0, 0, 0
16, 0, 0, 0
17, 0, 0, 0
18, 1, 11, 0
19, 0, 0, 0
20, 0, 0, 0
21, 1, 14, 0
22, 1, 15, 0
23, 1, 15, 0
24, 0, 14, 0
25, 0, 0, 0
26, 0, 0, 0
27, 0, 0, 0
28, 0, 0, 0
29, 1, 19, 0
30, 1, 20, 0
31, 0, 21, 0
32, 0, 22, 0
33, 1, 23, 0
34, 2, 24, 0
35, 1, 25, 0
36, 2, 25, 0
37, 2, 25, 0
38, 0, 22, 0
39, 0, 21, 0
40, 1, 22, 0
41, 1, 23, 0
42, 1, 24, 0
43, 1, 25, 0
44, 0, 26, 0
45, 0, 26, 0
46, 0, 27, 0
47, 0, 26, 0
48, 0, 26, 0
49, 0, 26, 0
50, 0, 25, 0
51, 0, 25, 0
52, 0, 27, 0
53, 0, 27, 0
54, 1, 27, 0
55, 1, 27, 0
56, 0, 26, 0
57, 0, 26, 0
58, 2, 25, 0
59, 0, 25, 0
60, 0, 24, 0
61, 2, 24, 0
62, 2, 24, 0
63, 0, 24, 0
64, 0, 24, 0
65, 1, 25, 0
66, 0, 25, 0
67, 1, 25, 0
68, 0, 26, 0
69, 0, 26, 0
70, 1, 26, 0
71, 0, 26, 0
72, 0, 26, 0
73, 1, 26, 0
74, 2, 25, 0
75, 2, 26, 0
76, 2, 25, 0
77, 2, 25, 0
78, 2, 26, 0
79, 2, 26, 0
80, 2, 25, 0
81, 2, 26, 0
82, 2, 25, 0
83, 2, 26, 0
84, 2, 26, 0
85, 2, 27, 0
86, 2, 27, 0
87, 2, 27, 0
88, 2, 25, 0
89, 1, 25, 0
90, 0, 26, 0
91, 2, 24, 0
92, 0, 25, 0
93, 0, 24, 0
94, 1, 25, 0
95, 2, 26, 0
96, 2, 25, 0
97, 2, 26, 0
98, 2, 26, 0
99, 2, 26, 0
100, 2, 26, 0
101, 2, 26, 0
102, 2, 26, 0
103, 0, 26, 0
104, 0, 25, 0
105, 0, 23, 0
106, 0, 22, 0
107, 0, 0, 0
108, 0, 0, 0
109, 0, 0, 0
110, 0, 26, 0
111, 0, 25, 0
112, 0, 25, 0
113, 0, 25, 0
114, 0, 25, 0
115, 0, 26, 0
116, 0, 26, 0
117, 0, 27, 0
118, 1, 27, 0
119, 1, 27, 0
120, 1, 26, 0
121, 0, 24, 0
122, 1, 24, 0
123, 1, 24, 0
124, 1, 24, 0
125, 1, 26, 0
126, 2, 26, 0
127, 1, 26, 0
128, 2, 26, 0
129, 2, 25, 0
130, 2, 26, 0
131, 2, 26, 0
132, 2, 26, 0
133, 2, 26, 0
134, 2, 26, 0
135, 0, 24, 0
136, 0, 22, 0
137, 1, 22, 0
138, 1, 23, 0
139, 0, 22, 0
140, 0, 23, 0
141, 2, 24, 0
142, 2, 24, 0
143, 2, 23, 0
144, 1, 24, 0
145, 2, 24, 0
146, 2, 24, 0
147, 2, 24, 0
148, 1, 25, 0
149, 2, 26, 0
150, 0, 23, 0
151, 0, 20, 0
152, 0, 19, 0
153, 1, 19, 0
154, 1, 19, 0
155, 0, 0, 0
156, 0, 20, 0
157, 1, 21, 0
158, 0, 21, 0
159, 0, 21, 0
160, 0, 21, 0
161, 0, 21, 0
162, 0, 21, 0
163, 0, 21, 0
164, 0, 21, 0
165, 0, 22, 0
166, 0, 22, 0
167, 1, 23, 0
168, 0, 23, 0
